Date,Open,High,Low,Close,Adj Close,Volume
1975-02-07,0.0,5.5,4.0,4.0,2.3055570125579834,1500
1975-02-10,0.0,5.5,4.0,4.0,2.3055570125579834,100
1975-02-11,0.0,5.5,4.0,4.0,2.3055570125579834,50
1975-02-12,0.0,5.5,4.0,4.0,2.3055570125579834,50
1975-02-13,0.0,5.5,4.0,4.0,2.3055570125579834,500
1975-02-14,0.0,5.0,3.5,3.5,2.017362594604492,100
1975-02-18,0.0,5.0,3.5,3.5,2.017362594604492,100
1975-02-19,0.0,5.0,3.5,3.5,2.017362594604492,100
1975-02-20,0.0,5.0,3.5,3.5,2.017362594604492,50
1975-02-21,0.0,5.0,3.5,3.5,2.017362594604492,50
1975-02-24,0.0,5.0,3.5,3.5,2.017362594604492,50
1975-02-25,0.0,5.0,3.5,3.5,2.017362594604492,50
1975-02-26,0.0,5.0,3.5,3.5,2.017362594604492,50
1975-02-27,0.0,5.0,3.5,3.5,2.017362594604492,50
1975-02-28,0.0,5.0,3.5,3.5,2.017362594604492,100
1975-03-03,0.0,4.5,3.5,3.5,2.017362594604492,50
1975-03-04,0.0,4.5,3.5,3.5,2.017362594604492,500
1975-03-05,0.0,4.5,3.5,3.5,2.017362594604492,200
1975-03-06,0.0,4.5,3.5,3.5,2.017362594604492,50
1975-03-07,0.0,5.0,4.0,4.0,2.3055570125579834,300
1975-03-10,0.0,5.0,4.0,4.0,2.3055570125579834,400
1975-03-11,0.0,5.0,4.0,4.0,2.3055570125579834,300
1975-03-12,0.0,5.0,4.0,4.0,2.3055570125579834,300
1975-03-13,0.0,4.5,3.5,3.5,2.017362594604492,400
1975-03-14,0.0,4.5,3.75,3.75,2.1614603996276855,500
1975-03-17,0.0,4.5,3.75,3.75,2.1614603996276855,50
1975-03-18,0.0,4.5,3.75,3.75,2.1614603996276855,500
1975-03-19,0.0,4.5,3.75,3.75,2.1614603996276855,300
1975-03-20,0.0,4.5,3.75,3.75,2.1614603996276855,300
1975-03-21,0.0,4.75,4.0,4.0,2.3055570125579834,1300
1975-03-24,0.0,4.75,4.0,4.0,2.3055570125579834,2200
1975-03-25,0.0,4.75,4.0,4.0,2.3055570125579834,500
1975-03-26,0.0,5.0,4.25,4.25,2.4496536254882812,800
1975-03-27,0.0,5.25,4.5,4.5,2.5937514305114746,300
1975-03-31,0.0,5.25,4.5,4.5,2.5937514305114746,900
1975-04-01,0.0,5.0,4.25,4.25,2.4496536254882812,100
1975-04-02,0.0,5.0,4.25,4.25,2.4496536254882812,1000
1975-04-03,0.0,5.0,4.25,4.25,2.4496536254882812,50
1975-04-04,0.0,5.0,4.25,4.25,2.4496536254882812,50
1975-04-07,0.0,5.0,4.25,4.25,2.4496536254882812,200
1975-04-08,0.0,5.25,4.5,4.5,2.5937514305114746,400
1975-04-09,0.0,5.25,4.5,4.5,2.5937514305114746,600
1975-04-10,0.0,5.5,4.75,4.75,2.737849473953247,50
1975-04-11,0.0,5.5,4.75,4.75,2.737849473953247,50
1975-04-14,0.0,5.25,4.5,4.5,2.5937514305114746,300
1975-04-15,0.0,5.25,4.5,4.5,2.5937514305114746,100
