Date,Open,High,Low,Close,Adj Close,Volume
1998-04-27,15.0,15.25,15.0,15.125,1.1181093454360962,109300
1998-04-28,15.1875,15.375,15.125,15.125,1.1181093454360962,51900
1998-04-29,15.25,15.25,15.125,15.1875,1.1227284669876099,64300
1998-04-30,15.1875,15.25,15.125,15.1875,1.1227284669876099,48900
1998-05-01,15.125,15.1875,15.0625,15.125,1.1181093454360962,62200
1998-05-04,15.125,15.1875,15.0625,15.1875,1.1227284669876099,49900
1998-05-05,15.0625,15.0625,15.0,15.0625,1.113486647605896,109400
1998-05-06,15.0,15.0625,15.0,15.0,1.1088672876358032,84500
1998-05-07,15.0,15.0625,15.0,15.0,1.1088672876358032,113600
1998-05-08,15.0,15.0625,15.0,15.0625,1.113486647605896,120300
1998-05-11,15.0,15.0625,15.0,15.0625,1.113486647605896,96400
1998-05-12,15.0,15.0625,15.0,15.0625,1.113486647605896,119400
1998-05-13,15.0,15.0625,15.0,15.0625,1.113486647605896,94600
1998-05-14,15.0625,15.0625,15.0,15.0,1.1088672876358032,63200
1998-05-15,15.0,15.0625,15.0,15.0,1.1088672876358032,67700
1998-05-18,15.0625,15.0625,15.0,15.0,1.1088672876358032,160000
1998-05-19,15.0625,15.0625,15.0,15.0,1.1088672876358032,55400
1998-05-20,15.0,15.0625,15.0,15.0,1.1088672876358032,98200
1998-05-21,15.0,15.125,15.0,15.125,1.1181093454360962,123900
1998-05-22,15.125,15.125,15.0,15.125,1.1181093454360962,117200
1998-05-26,15.125,15.1875,15.0,15.125,1.1181093454360962,270200
1998-05-27,15.125,15.1875,15.0625,15.125,1.1181093454360962,56100
1998-05-28,15.125,15.1875,15.0625,15.125,1.1181093454360962,255300
1998-05-29,15.125,15.1875,15.125,15.125,1.1181093454360962,83100
1998-06-01,15.125,15.1875,15.125,15.125,1.1181093454360962,149500
1998-06-02,15.1875,15.1875,15.125,15.125,1.1181093454360962,178100
1998-06-03,15.1875,15.25,15.1875,15.1875,1.1227284669876099,284900
1998-06-04,15.1875,15.1875,15.125,15.125,1.1181093454360962,114300
1998-06-05,15.125,15.1875,15.125,15.125,1.1181093454360962,88200
1998-06-08,15.125,15.25,15.125,15.25,1.1273484230041504,139900
1998-06-09,15.1875,15.3125,15.1875,15.25,1.1273484230041504,192700
1998-06-10,15.1875,15.3125,15.1875,15.25,1.1273484230041504,222500
1998-06-11,15.3125,15.3125,15.1875,15.25,1.1273484230041504,161900
1998-06-12,15.1875,15.25,15.125,15.1875,1.1316324472427368,114300
1998-06-15,15.1875,15.3125,15.1875,15.1875,1.1316324472427368,276200
1998-06-16,15.1875,15.25,15.125,15.1875,1.1316324472427368,263700
1998-06-17,15.1875,15.25,15.125,15.1875,1.1316324472427368,313900
1998-06-18,15.25,15.25,15.0625,15.125,1.1269774436950684,176100
1998-06-19,15.125,15.125,15.0,15.0,1.117661476135254,77400
1998-06-22,15.0,15.0625,15.0,15.0,1.117661476135254,84400
1998-06-23,15.0625,15.0625,15.0,15.0625,1.1223186254501343,75500
1998-06-24,15.0,15.0625,15.0,15.0,1.117661476135254,121400
1998-06-25,15.0625,15.0625,15.0,15.0625,1.1223186254501343,87800
1998-06-26,15.0,15.0625,15.0,15.0,1.117661476135254,30400
1998-06-29,15.0,15.0625,15.0,15.0,1.117661476135254,101500
1998-06-30,15.0,15.0625,15.0,15.0,1.117661476135254,109200
1998-07-01,15.0,15.0625,15.0,15.0,1.117661476135254,85200
1998-07-02,15.0625,15.0625,15.0,15.0,1.117661476135254,63600
1998-07-06,15.0625,15.0625,15.0,15.0625,1.1223186254501343,105400
1998-07-07,15.0,15.0625,14.9375,15.0,1.117661476135254,65500
1998-07-08,15.0,15.0,14.9375,15.0,1.117661476135254,98300
1998-07-09,14.9375,15.0,14.875,14.9375,1.1130049228668213,72100
1998-07-10,14.9375,15.0,14.875,14.9375,1.1130049228668213,80800
1998-07-13,14.875,14.9375,14.875,14.9375,1.1220186948776245,101600
1998-07-14,14.875,14.9375,14.75,14.8125,1.1126292943954468,171100
1998-07-15,14.8125,14.875,14.6875,14.75,1.1079356670379639,102800
1998-07-16,14.8125,14.875,14.75,14.8125,1.1126292943954468,84900
1998-07-17,14.8125,14.875,14.75,14.875,1.1173235177993774,44000
1998-07-20,14.875,14.875,14.75,14.8125,1.1126292943954468,71100
1998-07-21,14.8125,14.8125,14.625,14.6875,1.1032400131225586,89800
1998-07-22,14.75,14.75,14.625,14.625,1.0985451936721802,101200
1998-07-23,14.625,14.6875,14.3125,14.3125,1.0750725269317627,146300
1998-07-24,14.375,14.5,14.3125,14.4375,1.0844618082046509,133000
1998-07-27,14.4375,14.5,14.375,14.375,1.0797667503356934,122800
1998-07-28,14.4375,14.4375,14.0625,14.4375,1.0844618082046509,233500
1998-07-29,14.4375,14.625,14.375,14.5625,1.0938507318496704,161200
1998-07-30,14.5,14.8125,14.5,14.765625,1.1091086864471436,434900
1998-07-31,14.8125,14.875,14.6875,14.8125,1.1126292943954468,174000
1998-08-03,14.8125,14.875,14.75,14.8125,1.1126292943954468,104100
1998-08-04,14.875,14.875,14.6875,14.6875,1.1032400131225586,172300
1998-08-05,14.6875,14.75,14.5625,14.625,1.0985451936721802,152000
1998-08-06,14.5625,14.625,14.5,14.625,1.0985451936721802,116400
1998-08-07,14.5625,14.625,14.5625,14.625,1.0985451936721802,60400
1998-08-10,14.5625,14.625,14.5,14.5625,1.0938507318496704,101100
1998-08-11,14.5625,14.625,14.375,14.4375,1.0844618082046509,90800
1998-08-12,14.375,14.375,14.0,14.0,1.0604132413864136,155400
1998-08-13,14.0,14.1875,14.0,14.1875,1.07461416721344,205000
1998-08-14,14.1875,14.25,14.125,14.1875,1.07461416721344,77400
1998-08-17,14.1875,14.25,14.0625,14.125,1.0698797702789307,113800
1998-08-18,14.1875,14.3125,14.125,14.1875,1.07461416721344,156800
1998-08-19,14.25,14.25,14.1875,14.1875,1.07461416721344,58800
1998-08-20,14.25,14.5,14.25,14.375,1.0888168811798096,132200
1998-08-21,14.3125,14.375,14.1875,14.25,1.0793486833572388,88800
1998-08-24,14.1875,14.25,13.875,13.9375,1.0556784868240356,94700
1998-08-25,14.0625,14.125,13.875,13.9375,1.0556784868240356,120000
1998-08-26,13.8125,13.8125,13.375,13.4375,1.0178066492080688,199500
1998-08-27,13.4375,13.4375,12.125,13.375,1.0130727291107178,342800
1998-08-28,13.4375,13.6875,13.0625,13.0625,0.9894036054611206,340500
1998-08-31,13.125,13.125,11.75,11.8125,0.8947237133979797,249100
1998-09-01,11.8125,12.5625,11.25,12.5,0.9467973113059998,369500
1998-09-02,12.5625,12.8125,12.25,12.6875,0.9609994888305664,250400
1998-09-03,12.6875,13.0,12.625,12.8125,0.970467209815979,189700
1998-09-04,12.75,12.875,12.625,12.75,0.9657338261604309,108800
1998-09-08,12.875,12.9375,12.6875,12.8125,0.970467209815979,239500
1998-09-09,12.8125,12.9375,12.6875,12.875,0.9752013683319092,141000
1998-09-10,12.875,12.9375,12.375,12.875,0.9752013683319092,158800
1998-09-11,12.6875,12.875,12.5,12.875,0.9843763709068298,197800
1998-09-14,12.875,12.875,12.6875,12.8125,0.9795978665351868,125500
1998-09-15,12.8125,13.0,12.625,12.8125,0.9795978665351868,154600
1998-09-16,12.8125,12.9375,12.625,12.6875,0.9700403809547424,205200
1998-09-17,12.5625,12.6875,12.4375,12.5625,0.9604833126068115,129400
1998-09-18,12.5,12.6875,12.4375,12.6875,0.9700403809547424,116500
1998-09-21,12.5625,12.625,12.4375,12.5,0.9557045698165894,113300
1998-09-22,12.4375,12.875,12.4375,12.75,0.9748193621635437,449200
1998-09-23,12.75,13.0,12.75,13.0,0.9939332008361816,165600
1998-09-24,13.0,13.0,12.5625,12.6875,0.9700403809547424,185300
