Date,Open,High,Low,Close,Adj Close,Volume
1998-07-29,10.0,10.0625,10.0,10.0,0.6352334022521973,172300
1998-07-30,10.0625,10.0625,10.0,10.0625,0.6392032504081726,71700
1998-07-31,10.0,10.125,10.0,10.0,0.6352334022521973,59400
1998-08-03,10.0625,10.0625,10.0,10.0,0.6352334022521973,82400
1998-08-04,10.0,10.0625,10.0,10.0,0.6352334022521973,62000
1998-08-05,10.0,10.0625,10.0,10.0,0.6352334022521973,76900
1998-08-06,10.0625,10.0625,10.0,10.0625,0.6392032504081726,63000
1998-08-07,10.0,10.0625,10.0,10.0,0.6352334022521973,28800
1998-08-10,10.0,10.125,10.0,10.125,0.6431737542152405,84100
1998-08-11,10.0625,10.125,10.0,10.0625,0.6392032504081726,73900
1998-08-12,10.125,10.125,10.0,10.0,0.6352334022521973,36400
1998-08-13,10.0,10.0625,10.0,10.0,0.6352334022521973,57300
1998-08-14,10.0,10.0625,10.0,10.0,0.6352334022521973,31400
1998-08-17,10.0625,10.0625,9.3125,9.4375,0.5995011925697327,3058000
1998-08-18,9.5,9.75,9.4375,9.75,0.6193526387214661,234400
1998-08-19,9.6875,10.0,9.625,9.9375,0.6312628984451294,289300
1998-08-20,9.875,9.9375,9.6875,9.6875,0.6153824329376221,199000
1998-08-21,9.6875,9.6875,9.1875,9.375,0.5955311059951782,122700
1998-08-24,9.25,9.5,9.25,9.3125,0.5915612578392029,95700
1998-08-25,9.375,9.5,9.3125,9.3125,0.5915612578392029,62700
1998-08-26,9.25,9.4375,9.0,9.125,0.579650342464447,107600
1998-08-27,9.125,9.1875,9.0,9.125,0.579650342464447,221000
1998-08-28,9.125,9.125,9.0,9.0625,0.5756800174713135,66000
1998-08-31,9.0625,9.0625,9.0,9.0,0.5717098712921143,237200
1998-09-01,9.0,9.0625,9.0,9.0625,0.5756800174713135,168300
1998-09-02,9.0625,9.0625,9.0,9.0,0.5717098712921143,615400
1998-09-03,9.0625,9.0625,9.0,9.0,0.5717098712921143,349400
1998-09-04,9.0625,9.0625,9.0,9.0625,0.5756800174713135,113500
1998-09-08,9.0625,9.3125,9.0625,9.3125,0.5915612578392029,127800
1998-09-09,9.375,9.375,9.125,9.125,0.579650342464447,51600
1998-09-10,9.0625,9.125,9.0,9.125,0.579650342464447,74900
1998-09-11,9.0625,9.1875,8.75,9.0,0.5717098712921143,222800
1998-09-14,9.0,9.1875,8.9375,9.0,0.5717098712921143,79500
1998-09-15,9.0,9.3125,9.0,9.125,0.579650342464447,83900
1998-09-16,9.0,9.125,8.9375,9.125,0.5896664261817932,136000
1998-09-17,8.9375,9.0625,8.875,9.0,0.581588864326477,61700
1998-09-18,8.9375,9.0,8.875,9.0,0.581588864326477,61600
1998-09-21,8.875,9.0,8.875,8.875,0.5735109448432922,72600
1998-09-22,8.9375,8.9375,8.75,8.75,0.5654338598251343,158300
1998-09-23,8.8125,8.9375,8.75,8.9375,0.5775504112243652,50800
1998-09-24,9.0,9.1875,9.0,9.125,0.5896664261817932,74300
1998-09-25,9.1875,9.1875,9.0,9.125,0.5896664261817932,72200
1998-09-28,9.125,9.125,8.875,8.9375,0.5775504112243652,57500
1998-09-29,8.9375,9.0,8.8125,8.875,0.5735109448432922,39400
1998-09-30,8.9375,9.0625,8.9375,9.0625,0.5856276154518127,41800
1998-10-01,8.9375,8.9375,8.8125,8.8125,0.5694727897644043,83100
1998-10-02,8.8125,8.875,8.8125,8.875,0.5735109448432922,40600
1998-10-05,8.875,8.875,8.75,8.8125,0.5694727897644043,54900
1998-10-06,8.8125,8.875,8.75,8.8125,0.5694727897644043,63900
1998-10-07,8.75,8.875,8.75,8.75,0.5654338598251343,107000
1998-10-08,8.75,8.8125,8.625,8.6875,0.5613946914672852,79900
1998-10-09,8.5625,8.625,8.5,8.5,0.5492781400680542,56500
1998-10-12,8.5,8.75,8.5,8.625,0.5573557019233704,29100
1998-10-13,8.5625,8.75,8.5625,8.6875,0.5613946914672852,63200
1998-10-14,8.625,8.6875,8.5625,8.6875,0.566612720489502,56200
1998-10-15,8.625,8.75,8.5,8.75,0.5706887245178223,60400
1998-10-16,8.75,8.875,8.75,8.875,0.5788414478302002,31800
1998-10-19,8.9375,8.9375,8.75,8.75,0.5706887245178223,84000
1998-10-20,8.8125,8.875,8.75,8.75,0.5706887245178223,66400
1998-10-21,9.0,9.0,8.75,8.8125,0.5747657418251038,225500
1998-10-22,8.875,9.125,8.75,9.0,0.5869940519332886,177500
1998-10-23,9.0,9.1875,9.0,9.0625,0.5910707712173462,89000
1998-10-26,9.0,9.4375,9.0,9.375,0.6114528179168701,148600
1998-10-27,9.3125,9.375,9.1875,9.375,0.6114528179168701,87100
1998-10-28,9.3125,9.5,9.25,9.5,0.619604766368866,96400
1998-10-29,9.5,9.5,9.375,9.4375,0.6155283451080322,68800
1998-10-30,9.5,9.5625,9.375,9.5625,0.6236814856529236,56800
1998-11-02,9.5,9.5625,9.1875,9.3125,0.607376217842102,123200
1998-11-03,9.1875,9.3125,9.1875,9.25,0.6032994985580444,27300
1998-11-04,9.3125,9.4375,9.1875,9.3125,0.607376217842102,62600
1998-11-05,9.375,9.4375,9.25,9.3125,0.607376217842102,99600
1998-11-06,9.5,9.5625,9.4375,9.4375,0.6155283451080322,585300
1998-11-09,9.5,9.625,9.375,9.5,0.619604766368866,188700
1998-11-10,9.5,9.6875,9.375,9.625,0.6277581453323364,190800
1998-11-11,9.625,9.8125,9.625,9.8125,0.6399869322776794,285400
1998-11-12,9.75,9.8125,9.5625,9.625,0.6434966325759888,103000
1998-11-13,9.625,9.75,9.5,9.5625,0.639318585395813,76800
1998-11-16,9.625,9.75,9.5,9.5,0.635139524936676,141000
1998-11-17,9.5625,9.75,9.4375,9.625,0.6434966325759888,125600
1998-11-18,9.75,9.75,9.4375,9.5,0.635139524936676,54600
1998-11-19,9.5625,9.625,9.5,9.5625,0.639318585395813,119600
1998-11-20,9.625,9.625,9.4375,9.4375,0.6309607028961182,53900
1998-11-23,9.4375,9.625,9.4375,9.5,0.635139524936676,47300
1998-11-24,9.625,9.75,9.5625,9.625,0.6434966325759888,86500
1998-11-25,9.625,9.6875,9.5,9.625,0.6434966325759888,73400
1998-11-27,9.6875,9.6875,9.625,9.625,0.6434966325759888,16300
1998-11-30,9.625,9.625,9.5,9.5625,0.639318585395813,37800
1998-12-01,9.5625,9.625,9.5,9.625,0.6434966325759888,68100
1998-12-02,9.75,9.75,9.5625,9.625,0.6434966325759888,53200
1998-12-03,9.5625,9.625,9.4375,9.5,0.635139524936676,59000
